grouping name	table name	column name	Entity Name	Entity-Attribute Name	Entity-Attribute Definition	Key Field	Data Type	source database	source table	source column	notes
am_eng	am_ant_sys	am_dom_status	AM Antenna System	AM Domestic Status	Engineering status of record	FALSE	char(1)	mm	ameng	status	code_table lookup: was in am_eng_data but moved here; mistake.
am_eng	am_ant_sys	ant_dir_ind	AM Antenna System	Antenna Directional Indicator	Indicates whether the antenna is directional or not	FALSE	ind	NEW	n/a	n/a	"If tower_count > 1, must be set to Y."
am_eng	am_ant_sys	lat_deg	AM Antenna System	Antenna Latitude: Degrees	The degrees portion of the latitude	FALSE	int	"BAPS,mm"	"xmit_coord_am,authorization_general,
ameng"	"lat_deg,
latdeg"	"For Antenna Lat/Lon, Authorization_General has the ""Day"" lat/lon by default.  If a differing lat/lon exists its in xmit_coord_am w/ the ""N"" flag.  Separate of these two, mm.ameng has by hours flag the coordinates."
am_eng	am_ant_sys	lat_dir	AM Antenna System	Antenna Latitude: Direction	The direction for the latitude: N for North latitude and S for South.	FALSE	char(1)	"BAPS,mm"	"xmit_coord_am,authorization_general,
ameng"	"latitude_dir,
latdir"	code_table lookup
am_eng	am_ant_sys	lat_min	AM Antenna System	Antenna Latitude: Minutes	The minutes portion of the latitude	FALSE	int	"BAPS,mm"	"xmit_coord_am,authorization_general,
ameng"	"lat_min,
latmin"	
am_eng	am_ant_sys	lat_sec	AM Antenna System	Antenna Latitude: Seconds	The seconds portion of the latitude	FALSE	float	"BAPS,mm"	"xmit_coord_am,authorization_general,
ameng"	"lat_sec,
latsec"	
am_eng	am_ant_sys	lon_deg	AM Antenna System	Antenna Longitude: Degrees	The degrees portion of the longitude	FALSE	int	"BAPS,mm"	"xmit_coord_am,authorization_general,
ameng"	"lon_deg,
londeg"	
am_eng	am_ant_sys	lon_dir	AM Antenna System	Antenna Longitude: Direction	The direction for the longitude: W for West longitude and E for East.	FALSE	char(1)	"BAPS,mm"	"xmit_coord_am,authorization_general,
ameng"	"longitude_dir,
londir"	code_table lookup
am_eng	am_ant_sys	lon_min	AM Antenna System	Antenna Longitude: Minutes	The minutes portion of the longitude	FALSE	int	"BAPS,mm"	"xmit_coord_am,authorization_general,
ameng"	"lon_min,
lonmin"	
am_eng	am_ant_sys	lon_sec	AM Antenna System	Antenna Longitude: Seconds	The seconds portion of the longitude	FALSE	float	"BAPS,mm"	"xmit_coord_am,authorization_general,
ameng"	"lon_sec,
lonsec"	
